482,谷本,"41,200"
483,渡邊,"41,100"
484,北島,"41,100"
485,千田,"41,000"
486,吉井,"40,900"
487,深沢,"40,800"
488,西沢,"40,700"
489,相沢,"40,600"
490,徳田,"40,500"
491,原口,"40,200"
492,小柳,"40,100"
493,新谷,"40,000"
494,米山,"40,000"
495,田上,"40,000"
496,細谷,"39,900"
497,菅,"39,800"
498,今泉,"39,800"
499,浜野,"39,600"
500,森岡,"39,500"
501,畑中,"39,400"
502,小嶋,"39,200"
503,芳賀,"39,100"
504,大井,"39,000"
505,磯部,"39,000"
506,秋田,"39,000"
507,浅見,"38,700"
508,大崎,"38,500"
509,坪井,"38,500"
510,相原,"38,400"
511,植木,"38,400"
512,白川,"38,400"
513,細田,"38,400"
514,荻原,"38,400"
515,中本,"38,300"
516,皆川,"38,200"
517,三谷,"38,200"
518,岸田,"38,100"
519,福山,"38,000"
520,浜口,"37,900"
